,A,B,C,D,E,F,G,H,J,K,L
ATP1A4,1,0,0,0,0,1,0,0,0,0,0
ACTA2,1,0,0,0,0,0,0,0,0,0,0
MYH11,1,0,0,0,0,0,0,0,0,0,0
PLN,1,0,0,0,0,1,0,0,0,0,0
TNNC1,1,0,0,0,0,0,0,0,0,0,0
TNNT1,1,0,0,0,0,0,0,0,0,0,0
ADAMTS7,0,1,0,0,0,0,0,0,0,0,0
B3GNT8,0,1,0,0,0,0,1,0,0,0,0
GALNT4,0,1,0,0,0,0,1,0,0,0,0
GALNT8,0,1,0,0,0,0,1,0,0,0,0
AKR1B10,0,0,1,0,1,0,0,0,1,1,0
AKR1C3,0,0,1,0,1,0,0,0,1,1,0
APOM,0,0,1,0,1,0,0,0,1,1,0
AKR7A3,0,0,0,1,0,0,0,0,1,0,0
AOC3,0,0,0,1,0,0,0,0,1,0,1
CYP2A6,0,0,0,1,0,0,0,0,1,0,1
CYP2C18,0,0,0,1,0,0,0,0,1,0,1
GLYATL2,0,0,0,1,0,0,0,0,1,0,0
ATP8B3,0,0,0,0,0,1,0,0,0,0,0
CXCR3,0,0,0,0,0,0,0,1,0,0,0
C5AP2,0,0,0,0,0,0,0,1,0,0,0
NPFF,0,0,0,0,0,0,0,1,0,0,0
OXTR,0,0,0,0,0,0,0,1,0,0,0
OXCT2,0,0,0,0,0,0,0,0,1,0,0
GCKR,0,0,0,0,0,0,0,0,1,0,0
G6PC1,0,0,0,0,0,0,0,0,1,0,0
KYNU,0,0,0,0,0,0,0,0,1,0,0
OLAH,0,0,0,0,0,0,0,0,1,0,0
RPS26,0,0,0,0,0,0,0,0,1,0,0
SLC10A1,0,0,0,0,0,0,0,0,1,0,0
